Open,High,Low,Close,Volume
47976.51,48050,47976.45,48037.2,49.50214
48037.21,48037.21,47966.73,47969.88,24.25207
47969.88,47992.87,47966.71,47971.5,17.03024
47971.5,47994.61,47970,47974.03,19.95203
47979.06,47979.16,47937.77,47948.86,13.76898
47948.87,47961.17,47943.09,47945.5,18.62717
47945.5,47945.51,47910,47923.41,57.71206
47923.42,47970.52,47923.41,47957.49,21.28119
47957.49,48010.66,47955.42,48001.64,24.47263
48001.63,48010.63,47979.88,47995.5,26.73386
47995.51,47995.51,47988.37,47989.72,6.56441
47989.72,48049.96,47988.37,48037.38,29.92687
48036.51,48039.84,48016.66,48020,12.72467
48020,48037.31,48010,48020.76,15.47663
48020.76,48021.16,47979.31,48002.99,18.62017
48002.99,48065.38,47972.03,48065.38,43.81086
48065.38,48070.36,48045.48,48060.52,18.39258
48060.52,48065.55,48054.97,48063.3,10.08501
48063.3,48070,48051.91,48059.69,12.24944
48059.7,48059.71,48036.4,48051.26,15.33841
48051.27,48051.78,48044.61,48051.78,9.00903
48051.78,48116.94,48046,48105.56,42.26892
48105.56,48105.56,48062.35,48082.65,25.02355
48082.65,48091.52,48066.52,48082.37,26.11163
48082.38,48082.4,48054.99,48055.55,16.20489
48055.55,48075.93,48055.53,48065.3,10.84954
48065.3,48075,48057.3,48059.33,13.42437
48059.32,48062.43,48030,48035.71,19.96973
48035.7,48035.71,47994.36,47999.72,43.58505
47999.71,48015.67,47993.74,47999.54,17.28503
47999.54,48000.88,47975.03,48000.01,18.70868
48000,48000.87,47980.31,47980.33,10.12396
47980.33,47980.33,47947.28,47948.89,12.40014
47948.9,47970,47936.13,47950,28.58592
47950.01,47956.45,47920.01,47956.45,17.5078
47956.45,47987.85,47941.25,47983.42,22.02185
47983.43,48000.19,47955.89,48000.18,27.13691
48000.19,48009.61,47966.75,47966.76,9.4022
47966.75,47966.76,47939.97,47945.25,10.97288
47945.26,47965.7,47925.79,47943.4,25.34555
47940.89,47945.9,47937.16,47945.9,13.65932
47945.89,47963.82,47940.93,47948.02,23.85843
47948.01,47948.94,47945.67,47945.68,11.31372
47945.67,47945.68,47918.76,47920.3,12.36481
47920.3,47940.09,47920.3,47925.83,26.78258
47925.84,47934.99,47917.88,47922.92,20.42027
47922.92,47922.92,47885,47919.37,35.51442
47919.36,47924.17,47885.61,47919.9,20.24685
47919.9,47919.9,47890.01,47893.05,10.62906
47893.04,47911.64,47884.28,47900,17.88095
47900,47900.22,47881.83,47888.09,15.30671
47888.08,47888.09,47870,47879.5,13.17939
47879.5,47887.98,47870.8,47874.14,15.45435
47874.15,47899.99,47874,47894.14,20.95568
47894.15,47894.15,47868.17,47883.24,10.7409
47883.25,47902.74,47876.83,47884.79,29.18207
47884.8,47902.73,47872.01,47897.49,19.37305
47897.49,47920.18,47892.45,47910.48,32.75464
47910.49,47910.49,47861.77,47881.76,20.20836
47881.76,48005.37,47880.03,48005.37,29.12828
48005.37,48027.31,47937.5,48004.75,50.29149
48007.21,48011.78,47951.5,47951.5,14.75541
47956.29,47992.36,47944.49,47965.46,15.33062
47965.46,47970.25,47910.56,47954.34,13.35734
47954.35,47971.49,47949.55,47955.58,8.3438
47955.59,47967.65,47952.29,47967.65,8.99859
47967.64,47980.64,47956.26,47980.03,11.43615
47980.02,47997.09,47971.66,47979.62,7.64509
47979.62,47990,47973.03,47990,11.34944
47990,47999.98,47975.08,47977.84,19.1031
47977.85,47987.96,47958.14,47984.94,8.65876
47984.93,48040.15,47984.93,48022.04,44.71251
48022.03,48023.35,47993.97,48011.74,7.97656
48011.74,48015.61,48000.63,48010.33,8.59988
48010.33,48031.77,48006.46,48013.16,6.11559
48013.15,48034.52,48011.91,48034.47,6.59258
48034.48,48067,48025.29,48025.3,11.99643
48025.29,48048.39,48006.58,48044.17,14.56412
48044.17,48048.98,48020.48,48043.36,10.66376
48043.37,48045.54,48030.04,48039.51,5.69805
48039.51,48045.42,48018.1,48018.94,18.84075
48018.93,48025.02,48011.98,48011.98,9.4305
48011.99,48044.15,48011.98,48041.53,4.19437
48041.54,48071.22,48022.93,48067.61,10.56834
48067.61,48087.29,48066.41,48066.41,7.52194
48066.41,48087.08,48066.41,48082.53,5.50399
48082.54,48082.54,48075.39,48075.39,3.84321
48075.39,48086.91,48075.39,48086.91,5.90176
48086.91,48118.45,48084.98,48084.99,20.4351
48084.99,48109.34,48076.77,48103.99,8.11594
48104,48105.4,48075.39,48075.4,8.74481
48075.39,48079.82,48066.54,48070.56,7.98175
48070.56,48107.22,48066.18,48104.49,8.85581
48104.49,48104.5,48000.38,48024.4,18.88614
48021.98,48024.4,47939.51,47963.5,61.6551
47963.5,47963.5,47919.41,47919.42,12.33971
47919.41,47919.42,47889.76,47911.13,33.53731
47911.12,47917.94,47890.93,47890.93,9.73687
47890.93,47901.25,47878.29,47900.22,28.85313
47900.22,47900.68,47879.87,47898.57,11.58031
47898.58,47919.41,47880,47919.22,32.83788
47919.22,47920.72,47900.68,47900.72,9.06409
47905.49,47912.58,47885,47885.78,40.41302
47885.78,47896.19,47877.63,47890.85,33.23213
47890.84,47890.85,47882.81,47890.84,4.73342
47890.85,47911.99,47883,47905.12,9.21802
47905.13,47905.13,47874.01,47874.54,4.90887
47874.55,47911.99,47865.66,47911.98,11.94859
47911.99,47918.07,47892.71,47897.89,9.22485
47897.89,47897.9,47855.62,47869.75,8.60996
47866.58,47869.75,47481,47570.66,388.36279
47570.65,47672.38,47570.65,47603.16,60.07413
47603.17,47680.21,47591.29,47643.04,39.34946
47643.05,47646.52,47567.1,47620.75,45.4152
47620.75,47638.97,47560.27,47598.33,69.64308
47598.99,47608.62,47456,47499.62,80.72323
47499.63,47576.65,47481.55,47568,81.17279
47565.87,47569.64,47520.26,47537.07,15.1278
47537.07,47537.07,47409.77,47488.8,41.50033
